lat,lng
26.08,-113.93
26.08,-113.66
26.08,-113.39
26.08,-113.12
26.08,-112.85
26.08,-112.58
26.08,-112.31
26.08,-112.04
26.08,-111.77
26.08,-111.5
26.08,-111.23
26.08,-110.96
26.08,-110.69
26.08,-110.42
26.08,-110.15
26.08,-109.88
26.08,-109.61
26.08,-109.34
26.08,-109.07
26.08,-108.8
26.08,-108.53
26.08,-108.26
26.08,-107.99
26.08,-107.72
26.08,-107.45
26.08,-107.18
26.08,-106.91
26.08,-106.64
26.08,-106.37
26.08,-106.1
26.08,-105.83
26.08,-105.56
26.08,-105.29
26.08,-105.02
26.08,-104.75
26.08,-104.48
26.08,-104.21
26.08,-103.94
26.08,-103.67
26.08,-103.4
26.08,-103.13
26.08,-102.86
26.08,-102.59
26.08,-102.32
26.08,-102.05
26.08,-101.78
26.08,-101.51
26.08,-101.24
26.08,-100.97
26.08,-100.7
26.08,-100.43
26.08,-100.16
26.08,-99.89
26.08,-99.62
26.08,-99.35
26.08,-99.08
26.08,-98.81
26.08,-98.54
26.08,-98.27
26.08,-98.0
26.08,-97.73
26.08,-97.46
26.08,-97.19
26.08,-96.92
26.08,-96.65
26.08,-96.38
26.08,-96.11
26.08,-95.84
26.08,-95.57
26.08,-95.3
26.08,-95.03
26.08,-94.76
26.08,-94.49
26.08,-94.22
26.08,-93.95
26.08,-93.68
26.08,-93.41
26.08,-93.14
26.08,-92.87
26.08,-92.6
26.08,-92.33
26.08,-92.06
26.08,-91.79
26.08,-91.52
26.08,-91.25
26.08,-90.98
26.08,-90.71
26.08,-90.44
26.08,-90.17
26.08,-89.9
26.08,-89.63
26.08,-89.36
26.08,-89.09
26.08,-88.82
26.08,-88.55
26.08,-88.28
26.08,-88.01
26.08,-87.74
26.08,-87.47
26.08,-87.2
26.08,-86.93
26.08,-86.66
26.08,-86.39
26.08,-86.12
26.08,-85.85
26.08,-85.58
26.08,-85.31
26.08,-85.04
26.08,-84.77
26.08,-84.5
26.08,-84.23
26.08,-83.96
26.08,-83.69
26.08,-83.42
26.08,-83.15
26.08,-82.88
26.08,-82.61
26.08,-82.34
26.08,-82.07
26.08,-81.8
26.08,-81.53
26.08,-81.26
26.08,-80.99
26.08,-80.72
26.08,-80.45
26.08,-80.18
26.08,-79.91
26.08,-79.64
26.08,-79.37
26.08,-79.1
26.08,-78.83
26.08,-78.56
26.08,-78.29
26.08,-78.02
26.08,-77.75
26.08,-77.48
26.08,-77.21
26.08,-76.94
26.08,-76.67
26.08,-76.4
26.08,-76.13
26.08,-75.86
26.08,-75.59
26.08,-75.32
26.08,-75.05
26.08,-74.78
26.08,-74.51
26.08,-74.24
26.08,-73.97
26.08,-73.7
26.08,-73.43
26.08,-73.16
26.08,-72.89
26.08,-72.62
26.08,-72.35
26.08,-72.08
26.08,-71.81
26.08,-71.54
26.08,-71.27
26.08,-71.0
26.08,-70.73
26.08,-70.46
26.08,-70.19
26.08,-69.92
26.08,-69.65
26.08,-69.38
26.08,-69.11
26.08,-68.84
26.08,-68.57
26.08,-68.3
26.08,-68.03
26.08,-67.76
26.08,-67.49
26.08,-67.22
26.08,-66.95
26.08,-66.68
26.08,-66.41
26.08,-66.14
26.35,-125.0
26.35,-124.73
26.35,-124.46
26.35,-124.19
26.35,-123.92
26.35,-123.65
26.35,-123.38
26.35,-123.11
26.35,-122.84
26.35,-122.57
26.35,-122.3
26.35,-122.03
26.35,-121.76
26.35,-121.49
26.35,-121.22
26.35,-120.95
26.35,-120.68
26.35,-120.41
26.35,-120.14
26.35,-119.87
26.35,-119.6
26.35,-119.33
26.35,-119.06
26.35,-118.79
26.35,-118.52
26.35,-118.25
26.35,-117.98
26.35,-117.71
26.35,-117.44
26.35,-117.17
26.35,-116.9
26.35,-116.63
26.35,-116.36
26.35,-116.09
26.35,-115.82
26.35,-115.55
26.35,-115.28
26.35,-115.01
26.35,-114.74
26.35,-114.47
26.35,-114.2
26.35,-113.93
26.35,-113.66
26.35,-113.39
26.35,-113.12
26.35,-112.85
26.35,-112.58
26.35,-112.31
26.35,-112.04
26.35,-111.77
26.35,-111.5
26.35,-111.23
26.35,-110.96
26.35,-110.69
26.35,-110.42
26.35,-110.15
26.35,-109.88
26.35,-109.61
26.35,-109.34
26.35,-109.07
26.35,-108.8
26.35,-108.53
26.35,-108.26
26.35,-107.99
26.35,-107.72
26.35,-107.45
26.35,-107.18
26.35,-106.91
26.35,-106.64
26.35,-106.37
26.35,-106.1
26.35,-105.83
26.35,-105.56
26.35,-105.29
26.35,-105.02
26.35,-104.75
26.35,-104.48
26.35,-104.21
26.35,-103.94
26.35,-103.67
26.35,-103.4
26.35,-103.13
26.35,-102.86
26.35,-102.59
26.35,-102.32
26.35,-102.05
26.35,-101.78
26.35,-101.51
